entity,filing_date,industry_group_sec,state_or_country,year_of_incorporation,total_offering_usd,total_sold_usd,n_investors,mega_raise_100m,likely_nonstartup_category,likely_operating_company_context
VonFinch Fixed Income Fund LLC,11-JUN-2026,Other Real Estate,CO,2023.0,10000000.0,5049330,27,False,True,False
"Quintic Labs, LLC",11-JUN-2026,Other Technology,NY,2025.0,30000000.0,0,0,False,False,True
VALHALLA METALS INC.,11-JUN-2026,Other,A1,,32265822.0,32265822,1,False,False,True
JONES FINANCIAL COMPANIES LLLP,11-JUN-2026,Other Banking and Financial Services,MO,,725000.0,725000,2,False,True,False
"Synapse InvestCo, LLC",11-JUN-2026,Other Technology,WA,2025.0,24789500.0,24789500,37,False,False,True
"TIZ, INC.",11-JUN-2026,Other Technology,IL,,28000000.0,16565921,29,False,False,True
Penso Macro Convexity US LP,11-JUN-2026,Investing,NY,2026.0,,7225000,4,False,True,False
Penso Macro Convexity Offshore Ltd.,11-JUN-2026,Investing,NY,2026.0,,28225000,6,False,True,False
"Series 18-1, a series of StartEngine Private Funds LLC",11-JUN-2026,Other,CA,2026.0,4133500.0,2780357,34,False,False,True
Ohio Equity Fund for Housing Limited Partnership 36A,11-JUN-2026,Residential,OH,2026.0,324000000.0,300000000,15,True,True,False
"Randell Industrial, LLC",11-JUN-2026,Other,FL,2026.0,600000.0,0,0,False,False,True
"Anodyne Nanotech, Inc.",11-JUN-2026,Other Health Care,MA,,17259023.0,12597058,47,False,False,True
Skanda Energy Inc.,11-JUN-2026,Other Technology,MA,2026.0,1000000.0,65000,4,False,False,True
"CompleteFarmer Technologies, Inc.",11-JUN-2026,Other Technology,CA,,12000000.0,9199998,6,False,False,True
"Meritum RJ Blocker, LLC",11-JUN-2026,Other,TX,2025.0,5901000.0,5901000,44,False,False,True
Bandera 2025 LLC,11-JUN-2026,Residential,WA,2025.0,2050000.0,0,0,False,True,False
"Meritum Energy Holdings, LP",11-JUN-2026,Other,TX,,54276000.0,54276000,228,False,False,True
"Quince Therapeutics, Inc.",11-JUN-2026,Biotechnology,CA,,7387671.0,0,66,False,False,True
"Quince Therapeutics, Inc.",11-JUN-2026,Biotechnology,CA,,186422679.0,114720542,27,True,False,True
"Vesta Hospitality Fund II, LLC",11-JUN-2026,Other Real Estate,WA,,50000000.0,10490000,47,False,True,False
"Vybright, Inc.",11-JUN-2026,Other,VA,2025.0,400000.0,100000,1,False,False,True
PDX OZ FUND LLC,11-JUN-2026,Commercial,WA,2024.0,13600000.0,12300000,23,False,True,False
KISH BANCORP INC,11-JUN-2026,Commercial Banking,PA,,35000000.0,35000000,26,False,True,False
BREX Net Lease Industrial I DST,11-JUN-2026,Other Real Estate,NY,2026.0,80055365.0,31708445,46,False,True,False
AMOR FELINE Inc,11-JUN-2026,Manufacturing,OH,2026.0,308000.0,308000,14,False,False,True
"BHM MRI Radiology, LLC - Series F",11-JUN-2026,Other Health Care,AL,2026.0,12000.0,12000,2,False,False,True
RIVR 316 LLC,11-JUN-2026,Restaurants,IL,2026.0,2500000.0,400000,2,False,False,True
"Starboard Star Venus B, L.P.",11-JUN-2026,Other Technology,TX,2026.0,3000000.0,2920000,27,False,False,True
"1104Health, Inc.",11-JUN-2026,Other Technology,MD,,,0,0,False,False,True
striVE Climbing & Fitness LLC,11-JUN-2026,Retailing,MN,2026.0,1725000.0,1625000,25,False,False,True
"Krystal Lake Holdings, LLC",11-JUN-2026,Other Real Estate,DE,2026.0,2500000.0,410000,6,False,True,False
Lyme Forest Fund VI LP,11-JUN-2026,Other Real Estate,NH,2023.0,,440638640,126,True,True,False
Orbio Health Inc.,11-JUN-2026,Other Health Care,CA,2025.0,2000000.0,949999,11,False,False,True
"Fellowship Milledgeville IL GP, LLC",11-JUN-2026,Residential,GA,2022.0,6900000.0,6900000,18,False,True,False
"Ambulatory Surgery Center Acquisition HoldCo, LLC",11-JUN-2026,Other,AZ,2026.0,22600000.0,21000000,27,False,False,True
SAN ANTONIO MULTIFAMILY 119 DST,11-JUN-2026,Commercial,CA,2026.0,15821820.0,5729968,18,False,True,False
BIG Valley View RV Park LLC,11-JUN-2026,Residential,TX,2026.0,1875000.0,1750000,8,False,True,False
SoFab Inks Inc.,11-JUN-2026,Manufacturing,KY,2024.0,5999969.0,2927990,11,False,False,True
OMG Goals Inc.,11-JUN-2026,Other Technology,CA,2026.0,500000.0,165000,1,False,False,True
Prana Growth Fund II L P,11-JUN-2026,Other Real Estate,CA,,50000000.0,26225000,116,False,True,False
"Apogee Semiconductor, Inc.",11-JUN-2026,Other Technology,TX,,5000000.0,4500000,6,False,False,True
"Litewave.AI, Inc",11-JUN-2026,Other Technology,CA,2024.0,3500000.0,1500000,13,False,False,True
PRINCETON KY OPPORTUNITY 117 DST,11-JUN-2026,Commercial,CA,2026.0,5311475.0,725970,3,False,True,False
RAZEX INC.,11-JUN-2026,Other Technology,TX,2026.0,76.0,76,7,False,False,True
"Ionava, Inc.",11-JUN-2026,Other,CA,2025.0,5000000.0,270000,6,False,False,True
SHREVEPORT OPPORTUNITY 120 DST,11-JUN-2026,Commercial,CA,2026.0,7068288.0,100000,1,False,True,False
East Side Games Group Inc.,11-JUN-2026,Other,A1,,36489.0,36489,1,False,False,True
"Safeguard Flex Fund, LLC",11-JUN-2026,Commercial,TX,2023.0,,735000,3,False,True,False
"Kite Partners Fund 7, LLC",11-JUN-2026,Residential,WA,2026.0,12750000.0,5353936,3,False,True,False
OpenReserve Holdings Inc.,11-JUN-2026,Other Technology,NY,2025.0,25000000.0,24005501,11,False,False,True
Venn Advisory LLC,11-JUN-2026,Business Services,UT,2026.0,60000.0,60000,1,False,False,True
"Energy Flex Fund 1, Limited Partnership",11-JUN-2026,Oil and Gas,TX,2023.0,100000000.0,31259714,238,False,False,True
"California Reserve Flower, LLC",10-JUN-2026,Agriculture,CA,2022.0,30000000.0,500000,1,False,False,True
"BEL AIR APARTMENT FUND ONE, LLC",10-JUN-2026,Residential,MD,2026.0,1000000.0,1000000,9,False,True,False
Roers Cross-Market Collective I LLC,10-JUN-2026,Other Real Estate,MN,2026.0,30600000.0,2161500,12,False,True,False
Roers Bozeman Apartments LLC,10-JUN-2026,Other Real Estate,MN,2025.0,18000000.0,0,0,False,True,False
Shoppes of Midtown Mobile LLC,10-JUN-2026,Other,NJ,2026.0,2600000.0,0,0,False,False,True
"Apex Tech Growth Partners I, LLC",10-JUN-2026,Investing,TN,2024.0,1000000.0,0,0,False,True,False
"Haku Bio, Inc.",10-JUN-2026,Biotechnology,MA,2026.0,2710000.0,1509000,6,False,False,True
Property Llama Corp.,10-JUN-2026,Commercial,CO,2022.0,4000000.0,607500,10,False,True,False
Lift Aircraft Inc.,10-JUN-2026,Manufacturing,TX,,3000000.0,1195150,9,False,False,True
"Climate First Bancorp, Inc.",10-JUN-2026,Business Services,FL,2022.0,67504968.0,67504968,237,False,False,True
GrowthIQ AI Inc.,10-JUN-2026,Other Technology,MN,2026.0,600000.0,400000,5,False,False,True
"OpenTeams Holdings, Inc.",10-JUN-2026,Other Technology,TX,2025.0,10000000.0,0,0,False,False,True
"CONX-USA, INC",10-JUN-2026,Other Technology,CO,2021.0,3000000.0,305000,5,False,False,True
Barricade Therapeutics Corp,10-JUN-2026,Biotechnology,TX,,,100000,1,False,False,True
"Vinyl Health, Inc.",10-JUN-2026,Other Technology,NJ,2024.0,2499998.0,1000000,1,False,False,True
299 BROADWAY HOLDING Co LLC,10-JUN-2026,Commercial,MA,2026.0,5470000.0,5470000,16,False,True,False
Grand Summit at BR 152 LLC,10-JUN-2026,Residential,UT,2026.0,300000.0,0,0,False,True,False
Stone Hollow at BR 142 LLC,10-JUN-2026,Residential,UT,2026.0,300000.0,0,0,False,True,False
Sunset Ridge at BR 138 LLC,10-JUN-2026,Residential,UT,2026.0,300000.0,0,0,False,True,False
Conexeu Sciences Inc.,10-JUN-2026,Biotechnology,NV,2022.0,137427.0,22905,1,False,False,True
"Gods.com,Inc.",10-JUN-2026,Other Technology,NH,2026.0,60000000.0,384770,6,False,False,True
"Swan Echo Investments, LLC",10-JUN-2026,Residential,MI,2025.0,9900000.0,0,0,False,True,False
"Contraline, Inc.",10-JUN-2026,Biotechnology,VA,,115929658.0,55804741,77,False,False,True
"Rocking K Technologies, Inc.",10-JUN-2026,Other Banking and Financial Services,MN,2025.0,3500000.0,100000,1,False,True,False
26N Partners LLC,10-JUN-2026,Residential,FL,2026.0,5000000.0,0,0,False,True,False
"Haku Bio, Inc.",10-JUN-2026,Biotechnology,MA,2026.0,2500000.0,1299000,5,False,False,True
"Proxima Bio, Inc.",10-JUN-2026,Other Health Care,NY,,91454999.0,91454999,11,False,False,True
Clout Kitchen Holdings Inc.,10-JUN-2026,Other,CA,2026.0,7005498.0,6996240,27,False,False,True
Orams Development LLC,10-JUN-2026,Residential,VA,2023.0,600000.0,42000,1,False,True,False
TYADU Fund LP,10-JUN-2026,Residential,CA,2025.0,12000000.0,1000000,8,False,True,False
"Transcendence On The Brazos, LLC",10-JUN-2026,Commercial,TX,2026.0,500000.0,80000,5,False,True,False
Buckner Industrial Phase I LLC,10-JUN-2026,Commercial,KY,2025.0,3100000.0,3100000,11,False,True,False
"Reactor Technologies, Inc.",10-JUN-2026,Other Technology,CA,2025.0,47999892.0,25232004,8,False,False,True
Rise Opportunities 16 LLC,10-JUN-2026,Other Real Estate,MN,2026.0,,3515000,8,False,True,False
Alternative Canning Solutions dba Aqua Beato,10-JUN-2026,Manufacturing,NC,2023.0,300000.0,180000,3,False,False,True
ReGen III Corp.,10-JUN-2026,Other Technology,A0,,188678.0,80862,1,False,False,True
NexPoint Small Bay III DST,10-JUN-2026,Other Real Estate,TX,2025.0,50382493.0,22414235,76,False,True,False
ZIP Capital LLC,10-JUN-2026,Commercial,PA,2025.0,20000000.0,6000000,33,False,True,False
"IL Joliet Executive Dr, LLC",10-JUN-2026,Commercial,SC,2026.0,,560000,6,False,True,False
Stilly Preserve 3 LLC,10-JUN-2026,Residential,OK,2026.0,2000000.0,0,0,False,True,False
RAR Acquisitions LLC,10-JUN-2026,Commercial,DE,2026.0,25000000.0,0,0,False,True,False
Private Bankers Mortgage Fund II LLC,10-JUN-2026,Other,AZ,2026.0,20000000.0,336000,2,False,False,True
trainedB.ai Inc.,10-JUN-2026,Other Technology,DE,2025.0,500000.0,0,0,False,False,True
Aeterna WYM LLC,10-JUN-2026,Other,NY,2026.0,,876000,19,False,False,True
"True SFR STI, LLC",10-JUN-2026,Residential,NC,2026.0,12655526.0,0,0,False,True,False
"ReadyBench, Inc.",10-JUN-2026,Other Technology,TX,2026.0,45000.0,10000,1,False,False,True
Ovelle Bio Corp.,10-JUN-2026,Biotechnology,DE,2024.0,9200000.0,7000000,1,False,False,True
Emory Investor II LLC,10-JUN-2026,Other Health Care,TN,2026.0,2500000.0,1600000,5,False,False,True
"MP Playa NE Investors, LLC",10-JUN-2026,Restaurants,PA,2024.0,600000.0,600000,36,False,False,True
"Niva Platforms, Inc.",10-JUN-2026,Other Technology,WA,2025.0,60000.0,60000,1,False,False,True
SILVER SPRUCE RESOURCES INC.,10-JUN-2026,Other,A5,,167816.0,114427,3,False,False,True
ISG Income Partners LLC,10-JUN-2026,Other Banking and Financial Services,FL,2025.0,200000000.0,0,0,False,True,False
IMM Arcova Salacia GP Ltd,10-JUN-2026,Investing,E9,2026.0,,130000,3,False,True,False
Aryming Capital LP,10-JUN-2026,REITS and Finance,NJ,,25000000.0,700000,2,False,True,False
Grove Carbon Fund I LP,10-JUN-2026,Other Energy,NY,2023.0,300000000.0,129500000,56,True,False,True
NJD Strategic Advisors HH Holding LLC,10-JUN-2026,Other,OH,2026.0,161000.0,0,0,False,False,True
"Storage4Community, LLC",10-JUN-2026,Commercial,KY,2022.0,6000000.0,0,0,False,True,False
SalivIQ Diagnostics Inc.,10-JUN-2026,Biotechnology,VA,2024.0,2470000.0,1205000,36,False,False,True
"GMI-URBAN TOWERS, LP",10-JUN-2026,Commercial,TX,2026.0,24919975.0,5060000,16,False,True,False
"Edelman Financial Engines, L.P.",10-JUN-2026,Other Banking and Financial Services,VA,,,0,0,False,True,False
CapConnectPlus Inc.,10-JUN-2026,Other Banking and Financial Services,CA,,8000000.0,2503250,6,False,True,False
Slight Ache LLC,10-JUN-2026,Restaurants,NY,2025.0,1500000.0,1000000,14,False,False,True
"Thrivvy, Inc.",10-JUN-2026,Other Technology,LA,2025.0,25000.0,25000,0,False,False,True
Western Highland Fund II LLC,10-JUN-2026,Investing,CA,,100000000.0,12792828,55,False,True,False
"Musaffa, Inc.",10-JUN-2026,Investing,NY,2022.0,5000000.0,445424,19,False,True,False
"Arovia, Inc.",10-JUN-2026,Other Technology,TX,,1500000.0,1005000,7,False,False,True
"POST.BID.SHIP., INC.",10-JUN-2026,Other,OK,,1000000.0,100000,3,False,False,True
"Secure Fidelity, LLC",10-JUN-2026,Other Technology,WY,2026.0,25129.0,25129,12,False,False,True
"TSUGICINEMA, INC.",09-JUN-2026,Other Technology,CA,2026.0,250000.0,250000,8,False,False,True
Roblox Corp,09-JUN-2026,Other,CA,,44575519.0,44575519,6,False,False,True
Brixmor Operating Partnership LP,09-JUN-2026,REITS and Finance,NY,,0.0,30498675,0,False,True,False
"SWARM Engineering, Inc.",09-JUN-2026,Other Technology,CA,,10151260.0,10151260,13,False,False,True
"Clovergrove Drive Fund, LLC",09-JUN-2026,Commercial,IL,2026.0,20000000.0,0,0,False,True,False
"Triptych Management, Inc.",09-JUN-2026,Business Services,NY,2026.0,,50000,1,False,False,True
SP Ashland LLC,09-JUN-2026,Investing,MN,2026.0,4500000.0,4500000,45,False,True,False
Project Edison 55 at Dripping Springs LLC,09-JUN-2026,Residential,TX,2026.0,3500000.0,3500000,2,False,True,False
FalconX Holdings Ltd,09-JUN-2026,Investing,CA,,280495.0,0,0,False,True,False
"EQT Exeter Real Estate Income Trust, Inc.",09-JUN-2026,REITS and Finance,PA,2022.0,190000000.0,28988551,251,False,True,False
UMEP Corp.,09-JUN-2026,Other,MN,2025.0,1950000.0,0,0,False,False,True
"Thiogenesis Therapeutics, Corp.",09-JUN-2026,Biotechnology,A6,,28964.0,28964,0,False,False,True
SYB Logistics Inc,09-JUN-2026,Other,NY,2026.0,500000.0,25000,1,False,False,True
Adoorn LLC,09-JUN-2026,Retailing,IL,,1675000.0,1675000,20,False,False,True
"Symitri, Inc.",09-JUN-2026,Other Technology,CT,2024.0,,365000,4,False,False,True
"DesiCorp, Inc.",09-JUN-2026,Biotechnology,KY,,6000000.0,3499999,12,False,False,True
"MPC NE Series LIHTC ICF, LLC",09-JUN-2026,Other Real Estate,GA,,,399900,1,False,True,False
"HMA V, Inc.",09-JUN-2026,Insurance,IA,2025.0,4449120.0,4449120,19,False,True,False
"HMA IV, LLC",09-JUN-2026,Insurance,IA,2022.0,526240.0,526240,1,False,True,False
Yakuru Inc.,09-JUN-2026,Other Technology,DE,2025.0,,325000,9,False,False,True
"HMA III, Inc.",09-JUN-2026,Insurance,IA,,12699680.0,12699680,37,False,True,False
"HMA II, Inc.",09-JUN-2026,Insurance,IA,,11558880.0,11558880,23,False,True,False
"HMA, Inc. /IA",09-JUN-2026,Insurance,IA,,16447760.0,16447760,29,False,True,False
"ITSA Partners, LLC",09-JUN-2026,Business Services,CO,2024.0,26220000.0,26220000,40,False,False,True
MG Sola Galleria Investments CYV L.P.,09-JUN-2026,Residential,CA,,825340.0,825340,5,False,True,False
Beacon Title Agency LLC,09-JUN-2026,Insurance,NC,,77189.0,77189,1,False,True,False
"Contra Healthcare Solutions, LLC",09-JUN-2026,Other Health Care,PA,2021.0,500000.0,500000,8,False,False,True
Rovex Technologies Corp,09-JUN-2026,Other Health Care,FL,2024.0,4750000.0,4062697,34,False,False,True
"Bricmore Capital I, LLC",09-JUN-2026,Residential,MA,2026.0,15000000.0,0,0,False,True,False
"Regional Market Makers, Inc.",09-JUN-2026,Other,CA,,2500000.0,2500000,16,False,False,True
Saunalounge Group LLC,09-JUN-2026,Other,FL,2026.0,3000000.0,1520000,40,False,False,True
CesiumAstro Inc.,09-JUN-2026,Other Technology,TX,2022.0,270514997.0,270514997,37,True,False,True
Fortitude Gold Corp,09-JUN-2026,Other,CO,,5543000.0,5543000,1,False,False,True
"Pretura Health, Inc.",09-JUN-2026,Other Health Care,PA,2026.0,2500000.0,50000,1,False,False,True
"Bold II, Inc.",09-JUN-2026,Other Technology,SC,2025.0,,0,0,False,False,True
"FURTHER TECHNOLOGY HOLDINGS, INC.",09-JUN-2026,Other Technology,SC,2022.0,8000000.0,0,0,False,False,True
Curiosities Inc.,09-JUN-2026,Other Technology,TX,2021.0,10354997.0,10354997,5,False,False,True
American Atomics Inc.,09-JUN-2026,Other,Z4,2022.0,470608.0,0,2,False,False,True
"TacticalMind AI, LLC",09-JUN-2026,Other Technology,MI,2026.0,1500000.0,0,0,False,False,True
DW OKLAHOMA 53 LP,09-JUN-2026,Oil and Gas,TX,2026.0,1250000.0,0,0,False,False,True
NEW TRENDS LTD,09-JUN-2026,Other Banking and Financial Services,CO,,,100000000,10000,True,True,False
Synaptic Spike GenAI LLC,09-JUN-2026,Computers,CA,2024.0,92500.0,0,0,False,False,True
Talwex Inc.,09-JUN-2026,Other Technology,I0,2026.0,,200000,4,False,False,True
AspireX Kabiria One LLC,09-JUN-2026,Residential,UT,2026.0,261000.0,50000,1,False,True,False
"Sustainable Forest Futures, Inc.",09-JUN-2026,Other,NH,,20000000.0,4010000,16,False,False,True
"Izvor Capital, LP",09-JUN-2026,Other Banking and Financial Services,VA,2026.0,100000000.0,774500,6,False,True,False
USEDC 2026 Drilling Fund 1 LP,09-JUN-2026,Oil and Gas,TX,2026.0,250000000.0,100000,0,False,False,True
GW 2121 Holding LLC,09-JUN-2026,Commercial,FL,2026.0,11400000.0,0,0,False,True,False
P/E Capital DAO LLC,09-JUN-2026,Other,WY,2022.0,10000000.0,0,0,False,False,True
Electrolyte Boost Inc.,09-JUN-2026,Other,WY,2023.0,2000000.0,25000,1,False,False,True
P/E Capital DAO LLC,09-JUN-2026,Other,WY,2022.0,10000000.0,0,0,False,False,True
USEDC 2026 Drilling Fund 1 LP,09-JUN-2026,Oil and Gas,TX,2026.0,250000000.0,370000,0,False,False,True
Zentek Ltd.,09-JUN-2026,Other,A6,,4645275.0,1807500,2,False,False,True
"MedVet Associates, LLC",09-JUN-2026,Other,OH,,3175000.0,3175000,36,False,False,True
PROVIDENT MORTGAGE TRUST INC,09-JUN-2026,REITS and Finance,CA,,,289931750,422,True,True,False
Fox Tungsten Ltd.,09-JUN-2026,Other,A1,,243549.0,146129,2,False,False,True
"USPD Hamburg Self Storage Development, LLC",09-JUN-2026,Construction,TX,2025.0,5137992.0,106383,0,False,False,True
USEDC 2026 Drilling Fund 2 LP,09-JUN-2026,Oil and Gas,TX,2026.0,250000000.0,50000,0,False,False,True
Empire Franchising LLC,09-JUN-2026,Business Services,FL,2026.0,30000.0,15000,2,False,False,True
"Acretrader 260, LLP",09-JUN-2026,Other Real Estate,AR,2024.0,1205000.0,1205000,51,False,True,False
USEDC 2026 Drilling Fund 1 LP,09-JUN-2026,Oil and Gas,TX,2026.0,250000000.0,225000,0,False,False,True
"AmPd Labs, Inc.",09-JUN-2026,Other,TX,2024.0,4000000.0,3525000,19,False,False,True
SAVA Capital Inc.,09-JUN-2026,Investing,FL,2021.0,50000.0,50000,1,False,True,False
Little Sister Goods Ltd,09-JUN-2026,Retailing,X0,2024.0,72633.0,58725,1,False,False,True
"Creative Planning Employee Investment, LLC",09-JUN-2026,Investing,KS,,4229679.0,4229679,7,False,True,False
Reliant/Midgard Self Storage DST I,09-JUN-2026,Commercial,GA,2026.0,8145740.0,0,0,False,True,False
"Battr AI, Inc.",09-JUN-2026,Other Technology,UT,2024.0,50000.0,50000,1,False,False,True
Ozark MHP Partners LLC,09-JUN-2026,Residential,NY,2026.0,750000.0,750000,12,False,True,False
VeriQual Inc.,09-JUN-2026,Other Technology,TN,2026.0,1000000.0,250000,5,False,False,True
Bankers Title of East Tennessee LLC,09-JUN-2026,Insurance,TN,,44821.0,44821,5,False,True,False
CRESVOW LTD,09-JUN-2026,Other Banking and Financial Services,CO,,,100000000,10000,True,True,False
"MPC FED 2026 Energy Fund Echo, LLC",09-JUN-2026,Other Real Estate,GA,2026.0,,0,0,False,True,False
ADBX Holdings Ltd,09-JUN-2026,Other,C0,2025.0,,50000,1,False,False,True
"Grainfield Partners II, LLP",09-JUN-2026,Other Real Estate,IA,2025.0,25000000.0,2800000,17,False,True,False
CELLPAY Corp,09-JUN-2026,Other Technology,FL,,,5000,1,False,False,True
"LMRE Fund III, LLC",09-JUN-2026,Commercial,CT,2026.0,200000000.0,39596000,47,False,True,False
Filament Sciences Inc,09-JUN-2026,Other,NV,2025.0,2000000.0,2000000,3,False,False,True
Duo Oncology Inc.,09-JUN-2026,Pharmaceuticals,PA,,3000000.0,1425000,13,False,False,True
"HabitGlasses, Inc.",09-JUN-2026,Other Technology,CA,2026.0,100000.0,5000,1,False,False,True
"EnerVenue Holdings, Ltd.",09-JUN-2026,Other Energy,CA,,350000000.0,339600316,3,True,False,True
"DPEG Royal Vista, LP",09-JUN-2026,Other Real Estate,TX,2026.0,6350000.0,6350000,90,False,True,False
"Incalmo, Inc.",08-JUN-2026,Other Technology,CA,2025.0,10000000.0,8654991,6,False,False,True
"Infinant Health, Inc.",08-JUN-2026,Other Health Care,CA,,118230513.0,39247552,29,False,False,True
"Entravia, Inc.",08-JUN-2026,Other Technology,MN,2025.0,2604947.0,2604947,7,False,False,True
"MyWayv Holding, Inc.",08-JUN-2026,Other Technology,FL,2025.0,1500000.0,1208374,4,False,False,True
CCVII Co-Invest LLC Follow-On Series,08-JUN-2026,Investing,LA,2024.0,,2505000,14,False,True,False
Vedic Village EB-5 Fund LLC,08-JUN-2026,Other,NC,2026.0,16000000.0,0,0,False,False,True
BTC NOW INC.,08-JUN-2026,Other,DE,2025.0,,1125000,4,False,False,True
"CT Fund III, LLC",08-JUN-2026,Residential,FL,2025.0,35000000.0,9150000,11,False,True,False
"CT Louisiana, LLC",08-JUN-2026,Residential,FL,2026.0,2550000.0,2550000,3,False,True,False
"CT Louisiana, LLC",08-JUN-2026,Residential,FL,2026.0,1700000.0,1700000,1,False,True,False
HCW Biologics Inc.,08-JUN-2026,Biotechnology,FL,,4000000.0,4000000,7,False,False,True
VFC Soccer Holdings 2026 LLC,08-JUN-2026,Other,NJ,2026.0,5000000.0,0,0,False,False,True
"LinqAlpha, Inc.",08-JUN-2026,Other Technology,MA,2022.0,20002626.0,6999994,2,False,False,True
"ShredPay, Inc.",08-JUN-2026,Other Technology,CA,2025.0,2500000.0,1805000,29,False,False,True
"Matternet, Inc.",08-JUN-2026,Other Technology,CA,2025.0,36719997.0,29636586,165,False,False,True
"Hivers & Strivers Capital Series 4 (Independence Hydrogen - CPN), LLC",08-JUN-2026,Investing,VA,2026.0,2500000.0,0,0,False,True,False
Frost Methane Labs Co.,08-JUN-2026,Other Energy,AK,,4000000.0,1600000,27,False,False,True
Project Nootropic Ltd,08-JUN-2026,Other,X0,,1067520.0,1067520,13,False,False,True
Biostax Corp.,08-JUN-2026,Biotechnology,FL,2023.0,7453728.0,0,20,False,False,True
HSS Malden Revere 1 Westley LLC,08-JUN-2026,Commercial,PA,2026.0,7750000.0,1425000,7,False,True,False
1030(c)apital Investment Club LLC,08-JUN-2026,Other,IL,2026.0,,2000,2,False,False,True
Texas Home & Auto LLC,08-JUN-2026,Other,TX,2024.0,180000.0,21000,44,False,False,True
Irongate Home & Auto LLC,08-JUN-2026,Other,PA,2026.0,180000.0,14400,22,False,False,True
TRO Specialty Private Credit Fund LLC,08-JUN-2026,Other,IL,2025.0,,20000000,43,False,False,True
"RMR Ortho, Inc.",08-JUN-2026,Other,TX,2022.0,1191900.0,1130000,17,False,False,True
"Matternet, Inc.",08-JUN-2026,Other Technology,CA,2025.0,135000000.0,0,220,False,False,True
"RMR Ortho, Inc.",08-JUN-2026,Other,TX,2022.0,1656800.0,1656800,7,False,False,True
Los Angeles Project Inc,08-JUN-2026,Biotechnology,TX,2023.0,6909088.0,4909088,13,False,False,True
"RMR Ortho, Inc.",08-JUN-2026,Other,TX,2022.0,1230000.0,1230000,25,False,False,True
16 & One Investment LLC,08-JUN-2026,Other Banking and Financial Services,IL,2026.0,945000.0,945000,18,False,True,False
"JCV VENTURES, INC.",08-JUN-2026,Other,FL,2022.0,1000000.0,850000,3,False,False,True
"Roomongo, Inc.",08-JUN-2026,Tourism and Travel Services,CO,,1000000.0,30000,1,False,False,True
CREE EQUITY FUND LLC,08-JUN-2026,Residential,FL,2023.0,,15353000,138,False,True,False
"Whitecap Care, LLC",08-JUN-2026,Other Health Care,VA,,400000.0,400000,1,False,False,True
"AI Buddy, Inc.",08-JUN-2026,Other Technology,CA,,3000000.0,995000,8,False,False,True
"RMR Ortho, Inc.",08-JUN-2026,Other,TX,2022.0,460000.0,460000,14,False,False,True
"FutureState, Inc.",08-JUN-2026,Other Technology,AZ,2026.0,937500.0,12500,1,False,False,True
"AMBOSS TECHNOLOGIES, INC.",08-JUN-2026,Other Technology,FL,,3000000.0,80000,2,False,False,True
"Egret Therapeeutics I, a series of Capitalize Investments LLC",08-JUN-2026,Other,NV,2026.0,,75000,4,False,False,True
"Algae Cooking Club, Inc.",08-JUN-2026,Other,CA,2023.0,11698422.0,11698422,39,False,False,True
Rivvun AI Inc.,08-JUN-2026,Other Technology,WA,2026.0,450000.0,450000,2,False,False,True
CROWDFUNZ 860 LLC,08-JUN-2026,Other Real Estate,NY,,4000000.0,0,0,False,True,False
"Velocity at Sehoy, LLC",08-JUN-2026,Commercial,FL,2026.0,3200000.0,0,0,False,True,False
"Canopii I, a series of Capitalize Investments LLC",08-JUN-2026,Other,NV,2026.0,,75500,7,False,False,True
"X26 Orange Fund, a series of Capitalize Funds LP",08-JUN-2026,Other,NV,2026.0,,777879,180,False,False,True
Champions Storage LLC,08-JUN-2026,Commercial,VA,2026.0,5000000.0,0,0,False,True,False
"Corgi 3, a series of Capitalize Investments LLC",08-JUN-2026,Other,NV,2026.0,,555556,63,False,False,True
Magvation Inc.,08-JUN-2026,Other Health Care,NV,2023.0,9000000.0,5547582,36,False,False,True
Rise Select Fund 2 LLC,08-JUN-2026,Other,MN,2024.0,,2080000,6,False,False,True
Q2 Metals Corp.,08-JUN-2026,Other,A1,,2128584.0,2128584,5,False,False,True
DEP Devonshire Lake Dallas LLC,08-JUN-2026,Commercial,IL,2026.0,1000000.0,0,0,False,True,False
AGPF Houston Investor 1 LLC,08-JUN-2026,Other Real Estate,FL,2026.0,,20100000,25,False,True,False
Jubilee Quest Capital Ltd,08-JUN-2026,Other Banking and Financial Services,CO,,,100000000,10000,True,True,False
Attotude Inc.,08-JUN-2026,Other Technology,CA,2024.0,69999786.0,49749802,35,False,False,True
La Docta SPV I LLC,08-JUN-2026,Investing,TX,2026.0,7000000.0,2950000,7,False,True,False
"WillMax Celina Investor, L.P.",08-JUN-2026,Other Real Estate,TX,2024.0,14900000.0,0,46,False,True,False
"Reservble, Inc.",08-JUN-2026,Other Technology,DE,2023.0,115990.0,115990,1,False,False,True
"PYTHON NEXT, INC.",08-JUN-2026,Computers,NY,2025.0,,70000,5,False,False,True
"Supervest Investments, LLC, Series D",08-JUN-2026,Other Banking and Financial Services,NY,2024.0,23178487.0,23178487,185,False,True,False
"Supervest Investments, LLC, Series B",08-JUN-2026,Other Banking and Financial Services,NY,2023.0,5532509.0,5532509,64,False,True,False
Krone Lending LLC,08-JUN-2026,REITS and Finance,UT,2026.0,10000000.0,0,0,False,True,False
"FutureYou AI, Inc.",08-JUN-2026,Other Technology,WA,2026.0,6000.0,6000,2,False,False,True
